Purchase Dates (2023) ,Start Date,End Date ,Daily Care Weekly Revenue,Grooming Services Weekly Revenue,Training Services Weekly Revenue,Total Weekly Revenue  Week ,Total Weekly Expenses ,Weekly Profits
Week 1,2/1/2023,8/1/2023," $ 5,824.00 "," $ 3,353.00 "," $ 4,432.00 "," $ 13,609.00 "," $ 7,529 "," $ 6,080 "
Week 2,9/1/2023,15/1/2023," $ 5,792.00 "," $ 4,345.00 "," $ 4,440.00 "," $ 14,577.00 "," $ 8,100 "," $ 6,477 "
Week 3,16/1/2023,22/1/2023," $ 5,696.00 "," $ 3,450.00 "," $ 4,435.00 "," $ 13,581.00 "," $ 7,513 "," $ 6,068 "
Week 4,23/1/2023,29/1/2023," $ 6,400.00 "," $ 3,940.00 "," $ 5,200.00 "," $ 15,540.00 "," $ 8,669 "," $ 6,871 "
Week 5,30/1/2023,5/2/2023," $ 6,752.00 "," $ 3,456.00 "," $ 5,000.00 "," $ 15,208.00 "," $ 8,473 "," $ 6,735 "
Week 6,6/2/2023,12/2/2023," $ 6,432.00 "," $ 4,240.00 "," $ 4,824.00 "," $ 15,496.00 "," $ 8,643 "," $ 6,853 "
Week 7,13/2/2023,19/2/2023," $ 5,728.00 "," $ 3,560.00 "," $ 4,400.00 "," $ 13,688.00 "," $ 7,576 "," $ 6,112 "
Week 8,20/2/2023,26/2/2023," $ 5,888.00 "," $ 3,500.00 "," $ 4,560.00 "," $ 13,948.00 "," $ 7,729 "," $ 6,219 "
Week 9,27/2/2023,5/3/2023," $ 5,984.00 "," $ 3,590.00 "," $ 4,670.00 "," $ 14,244.00 "," $ 7,904 "," $ 6,340 "
Week 10,6/3/2023,12/3/2023," $ 6,400.00 "," $ 3,890.00 "," $ 4,578.00 "," $ 14,868.00 "," $ 8,272 "," $ 6,596 "
Week 11,13/3/2023,19/3/2023," $ 6,664.00 "," $ 4,300.00 "," $ 4,568.00 "," $ 15,532.00 "," $ 8,664 "," $ 6,868 "
Week 12,20/3/2023,26/3/2023," $ 6,426.00 "," $ 3,860.00 "," $ 4,560.00 "," $ 14,846.00 "," $ 8,259 "," $ 6,587 "
Week 13,27/3/2023,2/4/2023," $ 6,120.00 "," $ 4,340.00 "," $ 4,560.00 "," $ 15,020.00 "," $ 8,362 "," $ 6,658 "
Week 14,5/4/2023,9/4/2023," $ 6,800.00 "," $ 3,250.00 "," $ 5,160.00 "," $ 15,210.00 "," $ 8,474 "," $ 6,736 "
Week 15,10/4/2023,16/4/2023," $ 6,256.00 "," $ 3,440.00 "," $ 4,210.00 "," $ 13,906.00 "," $ 7,705 "," $ 6,201 "
Week 16,17/4/2023,23/4/2023," $ 6,664.00 "," $ 3,456.00 "," $ 4,230.00 "," $ 14,350.00 "," $ 7,967 "," $ 6,384 "
Week 17,24/4/2023,30/4/2023," $ 6,426.00 "," $ 4,140.00 "," $ 4,560.00 "," $ 15,126.00 "," $ 8,424 "," $ 6,702 "
Week 18,1/5/2023,7/5/2023," $ 5,780.00 "," $ 3,330.00 "," $ 4,569.00 "," $ 13,679.00 "," $ 7,571 "," $ 6,108 "
Week 19,8/5/2023,14/5/2023," $ 5,304.00 "," $ 3,100.00 "," $ 4,670.00 "," $ 13,074.00 "," $ 7,214 "," $ 5,860 "
Week 20,15/5/2023,21/5/2023," $ 6,120.00 "," $ 3,590.00 "," $ 5,100.00 "," $ 14,810.00 "," $ 8,238 "," $ 6,572 "
Week 21,22/5/2023,28/5/2023," $ 6,120.00 "," $ 3,860.00 "," $ 4,567.00 "," $ 14,547.00 "," $ 8,083 "," $ 6,464 "
Week 22,29/5/2023,4/6/2023," $ 6,426.00 "," $ 4,300.00 "," $ 4,986.00 "," $ 15,712.00 "," $ 8,770 "," $ 6,942 "
Week 23,5/6/2023,11/6/2023," $ 6,290.00 "," $ 3,860.00 "," $ 4,950.00 "," $ 15,100.00 "," $ 8,409 "," $ 6,691 "
Week 24,12/6/2023,18/6/2023," $ 6,392.00 "," $ 3,590.00 "," $ 4,900.00 "," $ 14,882.00 "," $ 8,280 "," $ 6,602 "
Week 25,19/6/2023,25/6/2023," $ 6,324.00 "," $ 4,090.00 "," $ 4,420.00 "," $ 14,834.00 "," $ 8,252 "," $ 6,582 "
Week 26,26/6/2023,2/7/2023," $ 6,732.00 "," $ 4,440.00 "," $ 4,160.00 "," $ 15,332.00 "," $ 8,546 "," $ 6,786 "
Week 27,3/7/2023,9/7/2023," $ 7,242.00 "," $ 3,760.00 "," $ 4,780.00 "," $ 15,782.00 "," $ 8,811 "," $ 6,971 "
Week 28,10/7/2023,16/7/2023," $ 6,460.00 "," $ 4,580.00 "," $ 4,078.00 "," $ 15,118.00 "," $ 8,420 "," $ 6,698 "
Week 29,17/7/2023,23/7/2023," $ 6,358.00 "," $ 4,250.00 "," $ 4,563.00 "," $ 15,171.00 "," $ 8,451 "," $ 6,720 "
Week 30,24/7/2023,30/7/2023," $ 6,426.00 "," $ 3,440.00 "," $ 4,760.00 "," $ 14,626.00 "," $ 8,129 "," $ 6,497 "
